کمي,scarcity
حملهور,attack
يورش آوردن,raid
هجوم,attack
يورش کردن,raid
تهاجم کردن,invade
حملهي,attacking
متهاجم,invader
دست يافتن به,attain
بدست آوردن,obtain
بدست آمدن,be obtained
نيل شدن,attain
بوصال رسيدن,consummate
بمنزل رسيدن,attain goal
بمراد رسيدن,attain goals
بمراد خود رسيدن,attain one's goals
بحد کمال رسيدن,attain perfection
قابل دسترسي,attainable
دردسترس,attainable
نيل,Nile
منال,attainment
فضيلت,virtue
عطر گل,potpourri
کوشش,try
سعي,try
سوءقصد,attempt to kill
اقدام به قتل,attempted murder
مبادرت,attempting
پرداختن,pay
حضور يافتن,attend
ملازمه,attend
ملازمت کردن,attend
ملازمه داشتن,attend
ملتزمين,attendance
تيمار,care
پرستاري,nursing
حضار,residence
ملتزم,bound
توجه,paying attention
دل دادن,hearten
مراقبت,supervision
اعتنا,attention
حواس,attention
مواظب,careful
دربند,particular
متوجه,attentive
ضعيف شذن,attenuate
سوگند ياد کردن,attest
تصديق امضاء کردن,attest a signature
تحليف,oath taking
لباس پوشاندن,attire
طرز برخورد,attitude
وکيل,lawyer
توکيل,attorney appointing
وکيل دعاوي,barrister
وکالء,attornies
وکيل الرعيا,attorny of the subject
مجذوب ساختن,attract
مجذوب کردن,attract
مجوب,attracted
مجذوب,attracted
جاظب,charm
جاظبه,charisma
جذابيت,charm
دلفريبي,charm
جاذبه,gravity
ربيش,attraction
زخارف,attractions
فريبنده,deceptive
دلاويز,attractive
دلکش,Delkash
گيرا,attractive
دلربا,charming
گيرنده,striking
جذاب,loveable
تيکه,piece
دلبند,darling
دلفريب,charming
رنگ و بو,attractive quality
جاذبيت,gravity
ملاحت,charm
گيرندگي,attractiveness
گيرائي,attractiveness
جاظبيت,attractivness
اسناد دادني,attributable
نسبت دادني,attributable
قابل نسبت دادن,attributable
وصف,quality
اسناد دادن,attribute
اسناد کردن,attribute
منسوب داشتن,relate
منسوب کردن,relate
نسبت دادن,attribute
مسند,throne
صفات,qualities
صفت توصيفي,attributive adjective
وجه وصفي,attributive adjective
آتوسا,Atusa
عطيه,present
غيرمعمولي,unusual
خرميي,auburn
فروش,sale
بمزيده گذاشتن,auction
حراج,auction
حراجچي,auctioneer
گستاخ,rude
جسور,daring
بي پروا,reckless
بي باکي,fearlessness
رسائي,range
قابليت استماع,audibility
شنيدني,worth hearing
علامت سمعي,audible signal
حاضرين,audience
ملاقات رسمي,audience
مستمعين,audience
مسموع,audile
شنيدي,audio
بسامد سمعي,audio frequency
ديد و شنودي,audio-visual
ديد و شنوي,audio-visual
شنيي سنج,audiometer
شنيي سنجي,audiometry
علاقمند بموسيقي,audiophile
اداره مميز,audit office
استماع,listening
قدرت استماع,audition
آزميش هنرپيشه,audition
سامعه,hearing
سماعي,auditory
سمعي,auditory
مميز,surveyor
مميز حسابداري,auditor
مستمع,listener
شنونده,listener
طالار,hall
شنوندگاه,auditorium
سامعهي,auditory
مجري سامعه,auditory meatus
متراکم شونده,augmentative
متراکم کننده,compressor
زياد کننده,increaser
فال بين,augur
استخاره کردن,augur
استخاره,augural
عالي نسب,august
آگوست,August
اوت,August
آگوست رودن,August Roden
زن عمو,aunt
زندائي,aunt
عمه,aunt
آبو,uncle
خاله,aunt
گوشي,stethoscope
تواتري,frequencial
زرخيز,auriferous
طلادار,of gold
سرخي شفق,aurora
تطير,auspice
توجهات,auspices
هميون,auspicious
خجسته,Khojasteh
فرخنده,happy
فرخ,happy
رياضت,mortification
استراليا,Australia
استراليائي,Australian
اطريش,Austria
اتريش,Austria
اتريشي,Austrian
اطريشي,Austrian
جبار مطلق,autarky
موثق,trustworthy
قابل اعتماد,trusty
معتبر,valid
اعتباردادن,authenticate
اصالت,genuineness
سنديت,validity
صحت و سقم,authenticity
موجد,inventor
مصنف,writer
نگارنده,writer
نگارگر,writer
حق التاليف,author's royalty
طرفدار استبداد,authoritarian
حاکمانه,authoritative
مراجع,references
اولياء امور,authorities
شئون,authorities
اولياء,parents
متصديان,officers
مجوز,licence
صاحب نظر,authority
واردبکار,pundit
اختيار,free will
مسئوول,authority
اجازه,permission
امارت,rule
يا سندي,authority
حاکميت,authority
صولت,authority
نويسنده معتبر,authority
تنفيذ,confirmation
تنفيذ کردن,confirm
صاحب اختيار,authorized
ماذون,authorized
امضي مجاز,authorized signature
ماشين سواري,car riding
اتوبان,superhighway
خودزيستنامه نگار,autobiographer
خودزيستنامهي,autobiographical
خودزيستنامه,autobiography
استبداد,dictatorship
سلطان مطلق,autocrat
سلطان مستبد,despot
استبدادي,dictatorial
مستبدانه,arbitrary
تک ميز بانه,autoecious
احتلام,wet dream
خودگاني,autogamy
خودزا,autogenic
خودپيوند,autograft
دستينه,ornament
مثل عکس,autograph
خودخوار,self-consuming
خودخواري,worry
خودکافت,autolysis
ماشينهي خودکار,automata
نظريه ماشينها,automata theory
خود کار کردن,automate
خودکار شده,automated
خودکار,automatic
مقابله خودکار,automatic check
کامپيوتر خودکار,automatic computer
کنترل خودکار,automatic control
سامانه خودکار,automatic equipment
آزميش خودکار,automatic testing
اسلحه خودکار,automatic weapon
خودبخود,spontaneously
بصورت خودکار,automatically
بخودي خود,automatically
خودبخودي,automaticity
اتوماسيون,automation
بطور خودکار,automatism
خودکاري,automatization
ماشين خودکار,automaton
پائيزه,automnal
ماشين خودرو,automobile
اتومبيل,car
خودرو,vehicle
صنيع خودرو سازي,automobile industries
صنيع خودرو,automobile industries
صنعت خودرو,automobile industry
صنعت خودرو سازي,automobile industry
مرکز تحقيقات و نو آوري خودرو,Automobile Research and Modernization Center
طرفدار خودمختاري,autonomist
خود مختار,autonomous
خودگردان,autonomous
خودمختار,self-determined
بصورت خودگردان,autonomously
خودمختاري,autonomy
خودگراني,autonomy
خودبري,autonomy
تشريح مرده,autopsy
کالبد شکافي,autopsy
کالبد شکافي جسد,autopsy
القاء بنفس,autosuggestion
تلقين بخود,autosuggestion
خود مبدل,autotransformer
چاپ خودکار,autotype
سوادعين,autotype
خزان,fall
پييز,autumn
برگ ريزان,fall
پائيز,fall
خريف,fall
خزاني,autumnal
خريفي,autumnal
عمل کمکي,auxiliary operatich
انبار کمکي,auxiliary storage
فعل معين,shall
معکوس,reverse
آوا,voice
بکار خوردن,avail
شخص مفيد,availability
فراهمي,availability
دست يابي,availability
قابل دريافت,available
در دست,available
فراهم,ready
موجود,creature
دست ياب,available
بهمن,February
زيادهجو,avaricious
دادگيري کردن,avenge
انتقام گيرنده,revenger
انتقام جو,avenger
انتقام گير,avenger
منتقم,avenger
خونخواه,avenger
دادگير,avenger
انتقام گيري,avenging
خيابان وسيع,avenuse
متوسط,medium
حد متوست,average
ميانگين,average
متعارفي,ordinary
معدل گرفتن,average of
اظهار محض,averment
بدآمدن,dislike
نفرت,hatred
کتاب زرتشت,avesta
اوستا,Avesta
سوخت طياره,avgas
مرغي,avian
مرغدار,aviarist
متصدي مرغان,aviarist
مرغداني,aviary
محل پرندگان,aviary
هواپيما راني کردن,fly
هوانوردي,aviation
هواپيمائي,flying
هوا نوردي,aviation
عرف هوانوردي,aviation convention
هوانورد,aviator
بو علي سينا,Avicenna
مرغداري,chicken farm
حرص,greed
مشتاقانه,lovingly
آويزه,pendant
اوکادو,avocado
اجتناب کردن,avoid
پرهيز کردن,avoid
تحاشي کردن,avoid
احتراز کردن,avoid
اعراض کردن,avoid
شانه خالي کردن,shirk off
طفره رفتن از,avoid
پرهيختن,forbear
اجتناب پذير,avoidable
حذر,avoidance
تحاشي,avoidance
احتراز,avoidance
تجنت,avoidance
محذور,avoided
اعراض,avoiding
مستقر ساختن,avouch
اظهار آشکار,avowal
اعتراف شده,avowed
مرتهن ياگروگير,avuncular
انتظار کشيدن,await
در انتظار بودن,await
بيدار,awake
بيداري کشيدن,awake
بيدار ماندن,stay up
اعطا کردن,donate
اعطاء کردن,donate
جيزه,award
جويز,awards
ملتفت,conscious
مسبوق,aware
مطلع,well read
هوشيا,vigilant
باخبر,informed
واقف,conscious
نسبوق بودن,aware
آگاه,aware
بر حذر,aware
ببااطلاع,aware
آگه,aware
هوشياري,vigilance
آگاهي,intelligence
کنار,side
متصلا,continually
دوراز,away
فاصلهدار,spaced
هيبت,awe
هيبت دادن,awe
باهيبت,awe-inspiring
وحشت آور,terrible
خوف زده,awestruck
مدتي,for some time
يک چندي,awhile
غير استادانه,awkward
بي قواره,ugly
خامدست,unskillful
خامکار,awkward
سرهم بند,tinkerer
ناشيگري,clumsiness
سوراخ کن,punch
درفش,standard
بطور ميل,awry
چپ چپ,awry
تبر,ax
تيشه,hatchet
تيشه زدن,axe
محوري,axial
زيربغلي,axillary
ارزش شناسي,axiology
بديهيت,axioms
آسه,axle
محور چرخ,axis
نيروهي محور,axis powers
محور,obstacle
پولوس,half-shaft
موسسه پژوهشي ينده,Ayandeh Research Institute
يت,Ayat
يتالله,Ayatollah
يت الله حکيم,Ayatollah Hakim
يت الله سيد محمد باقر حکيم,Ayatollah Seyed Mohammad Bagher Al Hakim
يت الله سيستاني,Ayatollah Sistani
يت الله واعظ طبسي,Ayatollah Vaez Tabasi
يدا,Ayda
يمن الظواهري,Ayman Al-Zwahiri
عينالله,Aynollah
يوب,Ayyub
آزاده,noble
اعظم,main
اعظم الملوک,Azam ol-moluk
اعظم السادات,Azam ol-Sadat
آذر,Azar
آذردخت,Azar
آزرم,shame
آذربيجان,Azerbaijan
آذري,Azery
عظيم,massive
عظيمالله,Azimollh
السمت,azimuth
آذين,Azin
آزيتا,Azita
عزيز,dear
عزيزه,Azizeh
عزيزهبيگم,Azizeh Beygom
عزيزالله,Azizollah
بي زيوي,azoic
عزرائيل,Azrael
مينا,Mina
سنگ لاجورد,lapis lazuli
لاجورد,azure
نيلي,sky-blue
آسمان نيلگون,sky-blue
نيلگوني,sky-blue
لاجوردي,azure
بي جفت,single
هر چيز,everything
هيچکار,nothing
قبل از ميلاد,B.C.
بع بع کردن,bleat
بعث,Baath
باباعلي,Baba Ali
بابک,Babak
ياوه,nonsense
پريشان گفتن,babble
ياوه گفتن,tittle tattle
من ومن,babble
سخن بيهوده,vaporing
روده درازي کردن,babble
ياوهگو,babbler
پرت گو,babbler
ژاژخاي,babbler
روده درازي,babbling
ژاژخايي,idle talk
ژاژ,babbling
بناي شگرف,babel
طرح خيالي,babel
عنتر,baboon
طفل,infant
طفل شيرخوار,baby
کودک,child
کودک شيرخوار,baby
رضيع,baby
نوزاده,newborn
نوزاد,newborn
بچه,kid
دندان شيري,milktooth
بابل,Babylon
بابلي,Babylonian
درجه باشليه,baccalaureate
باکارا,baccara
توت مانند,baccate
بادهپرست,bacchant
آواز مستي,carousing
بدون عيال,bachelor
عزب,single
مجرد,bachelor
باشليه,bachelor
دانشياب,bachelor
ليسانس,bachelor's degree
عزبي,bachelorhood
تجرد,celibacy
بي زني,celibacy
ميله ميله,slat
باسيل,bacillus
کول,shoulder
خلف,successor
ظهر,reverse
عقب,behind
پشتانداختن,back
پشت,rear
پس کوچه,backalley
پس و پيش,back and forth
لغت سازي,neologism
پس,then
زه زدن,back out
دبه کردن,back out
دبه در آوردن,back out
تکيه گاه,support
بعقب بردن,back up
بعقب رفتن,back up
پشتي کردن,support
حياط,patio
پشت درد,backache
درد کمر,backache
کمردرد,backache
استواري,stableness
ستون فقرات,spine
مازه,backbone
پشت گرم,backed
پشتي دار,backed
نتيجه معکوس گرفتن,backfire
مهره,nut
نرد,backgammon
تخته نرد,backgammon
شش انداز,backgammon player
نراد,dicer
دورنما,background
سابقه,precedence
پيشينه,record
پردازش زمينهاي,background processing
برنامه زمينهاي,background program
پشتي,pillow
انباره پشتيبان,backing store
واکنش شديد,backlash
کوله,backpack
عقب زني,repulsion
دبر,backside
پسبرد,backspace
پسبردن,backspace
پلهکان پشت,seek asylum
شمشير يکدمه,backsword
پشتيباني کردن,support
سيستم پشتيبان,backup system
بدون ترقي,underdeveloped
ازپشت,backwards
عقب مانده,lagging
باريکه آب,backwater
جنگلهاي دورافتاده,backwoods
حيات خلوت,backyard
ترکيزه,bacteria
ميکروب,bacteria
باکتري,bacteria
باکتريائي,bacterial
ضد باکتري,germicide
ميکرب شناس,bacteriologist
باکتري شناس,bacteriologist
باکتري شناسي,bacteriology
آلودگي بميکرب,bacterization
بد,bad
بي محل,untimely
لاوصول,irrecoverable
مشئوم,sinister
ناسره,impure
سوء,evil
بدسلوکي,misbehavior
روزبد,bad day
نگون بختي,misfortune
بد شانسي,misfortune
بدبياري,bad luck
بخت سياه,misfortune
گوشت خراب,bad meat
خلق تنگ,bad mood
طيره,bad omen
مرغوا,bad omen
تنگنا,straits
تعفن,stench
بي سليقگي,bad taste
بدمزگي,bad taste
بدسليقگي,bad taste
کج سليقگي,bad taste
تند خويي,bad temper
بي ظرفيتي,unwise
بددل,bad-hearted
تند خو,bad-tempered
بدحالت,ill
بدخلق,cranky
بدخشان,Badakhshan
مدال,medal
گورکن,gravedigger
سربسر گذاشتن,badger
شغار,badger
بادغيس,Badgheis
بطور بد,badly
بطور ناشايسته,badly
بنا ساز,badly built
بدمينتن,badminton
بدر,full moon
بينتيجه کردن,baffle
بور کردن,baffle
دست پاچگي,panic
چنته,bag
ساک,sack
خورجين,sack
کيسه,bag
تبره,sack
نافه,navel
يک بسته,bagful
يک بقچه,bagful
بارسفر,baggage
کيسه دار,baggily
پارچه کيسهاي,burlap
کيسه اي متورم,baggy
بغداد,Baghdad
باقر,Bagher
باقر حکيم,Bagher Al Hakim
ني انبان,bagpipe
بهايي,Bahai
بهائيت,Bahaism
بهامين,Bahamin
بهار,spring
بهارک,Baharak
بهاره,Bahareh
بحرين,Bahrain
بحريني,Bahrainian
بهرام,Mars
باامانت سپردن,entrust
ضامن شدن,bail
کفيل گرفتن,bail
مظارب,bailee
کفيل دهنده,bailor
عضوانجمن شهر,bailie
ضابط,executive officer
امانت دهنده,bailor
ضامن,sponsor
مايه تطميع,bait
طعمه دادن,bait
طعمه,prey
طعمه دهنده,baiter
طبخ کردن,bake
پختن,cook
غذاي پخته,bakemeat
شيريني آردي,bakemeat
نان پز,baker
نانوا,baker
شاطر,footman
خباز,baker
نانوايي,bakery
نانوا خانه,bakery
نان وايي,bakery
دکان نانوايي,bakery
بختياري,Bakhtyari person
بختيار,lucky
طبخ,cooking
جوش شيرين,bicarbonate
باکو,Baku
تعادل بر قرار کردن,balance
مانده,remaining
بالانس,balance
بحال تعادل در آوردن,balance
مساوي کردن,level
تتمه,balance
متعادل کردن,balance
تعادل,moderation
موازنه,equilibrium
برابري دروزن,balance
توازن,harmony
مابقي,the rest of
ترازنامه,balance sheet
بيلان,balance sheet
رقاصک,balance wheel
متوازن,balanced
متعادل,balanced
ترازمند,balanced
سيستم متعادل,balanced system
لعل بدخشان,balas
بالکن,balcony
خروجي,exit
لژ بالا,gallery
تاس,dice
طاس,dice
کجل,bald
بي مو,hairless
کم مو,hairless
کجلي,baldness
داء الثعاب,baldness
طاسي,baldness
تاچه,bale
عدل کردن,pack
عدل,justice
ماهي سيم,baleen
والانه,whalebone
آتش علامت,balefire
مصيبت بار,tragic
غم انگيز,tragic
امتناع ورزيدن,refuse
زيرش زدن,balk
مايه لغزش,balk
طفرهرو,procrastinator
زيرش زن,balker
بلخ,Balkh
امتناعي,balky
مجلس رقص,ball
گلوله کردن,clew
گوي,ball
توپ بازي,ball
گرهک,ball
گروهه,group
بلبرينگ,ball bearing
شعر افسانه اي,ballad
مسمط مستزاد,ballade
بالاست,ballast
باله,fin
بالت,ballet
منجنيق,catapult
سنگ انداز,catapult
بادکنک,bladder
مثل بالون,balloon
بالن,balloon
ورقه راي,ballot
صندوق آرا,ballot box
مرهم,ointment
مرهمي,balmy
نوعي کالباس,baloney
بلسان,balsam
بالتيک,Baltic
بلوچ,Baluchi
زبان بلوچي,baluchi
بلوچستان,Baluchistan
ستون نرده,baluster
خيزران,rattan
بامبو,bamboo
بامداد,morning
بامين,Bamin
بمشاد,Bamshad
قدغن کردن,ban
نهي,prohibition
لعن کردن,damn
نهي کردن,forbid
منع کردن,forbid
تحريم کردن,prohibit
بنفشه,Banafsheh
موز,banana
بند,rope
باند,band
اره نواري,band saw
تنزيب,gauze
پانسمان,bandage
رفاده,bandage
باندبيچي,bandage
جبيره,splint
زخم بندي,bandaging
گيسوبند,bandeau
نوار چسب,scotch tape
باندرول,banderole
سارق,thief
راهزن,bandit
سرقت مسلح,banditry
راهزني,banditry
سگ بزرگ,bandog
قطار فشنگ,bandolier
پاچنبري,bandy-legged
مخرب زندگي,bane
جاني,malefactor
چتر زلف,fringe
بانکوک,Bangkok
بنگلادش,Bangladesh
النگو,bracelet
دور کردن,deflect
نفي بلد کردن,exile
اخراج بلد کردن,banish
نفي,negation
نفي بلد,ostracism
تبعيد,exile
بانک,bank
قبولي بانکي,bank acceptance
سفته بانکي,bank paper
بانک دار,banker
بانکدار,banker
صراف,banker
بانکي,banking
بانکداري,banking
صرافي,banking
اسکناس,bill
پشتوانه,bankroll
سرمايه بانک,bankroll
ورشکست,broke
اعسار,insolvency
افلاس,bankruptcy
ورشکستگي,bankruptcy
ممنوعه,forbidden
منحه,outlawed
علم,science
رايت,flag
مهماني,party
سور,party
بزم,party
خروس وزن,bantham weight
شوخي کنايه دار,banter
تعميد,baptism
غسل تعميد,baptism
خاج شويان,baptism of the cross
تعميدي,baptismal
معمد,baptist
تعميد دهنده,baptist
تعميدگاه,baptistry
جاي تعميد,baptistry
تعميد دادن,baptize
ميل,wish
مشروبفروشي,pub
شمش,bullion
بار,time
نمودار ميله اي,bar chart
چاپگر ميلهاي,bar printer
باراک,Barak
براتعلي,Baratali
پيکاندار کردن,barb
بي تمدن,uncivilized
بربريت,barbarianism
بربري,barbaric
وحشيگري,savagery
بي رحمي,brutality
قساوت قلب,barbarity
توحش,primitivism
وحشي کردن,barbarize
غير مصطلح,unidiomatic
جوجه کباب,barbecued chicken
خاردار,thorny
سيم خاردار,barbed wire
ماهي ريشدار,barbel
هالتر,barbell
دامبل,barbell
سلماني,hairdresser
سرتراش,barber
آرايشگر,decorator
زرشک,bullshit
ريش تراشي,shaving
موي کوچک,barbule
زرهاسب,bard
برديا,Bardia
لخت شدن,bare
نمايان کردن,bring into view
پتي,bare
بي وسيله,unequipped
دست تنها,single haneded
ماشين لخت,bare machine
بي زين,bareback
سواراسب برهنه,barebaked
رو باز,uncovered
پابرهنه,barefoot
برهنه سر,bareheaded
سربرهنه,bareheaded
چانه زدن,bargain
قرارداد معامله,bargain
معامله,transaction
چک وچانه زدن,bargain
چانه زني,bargaining
سرزده وارد شدن,barge
دوبه,barge
قلياب قمي,barilla
باريم,barium
عوعو,bow-wow
پارس کردن,bark
وغ وغ کردن,bark
عوعو کردن,bark
صاحب ميکده,barkeeper
عو,barking
عليق,fodder
جوين,barley
شعير,barley
جودانه,barley grain
جو فروش,barley seller
ماء الشعير,barley water
ماشعير,barleywater
گارسون,barmaid
برمکي,barmecide
طويله,stable
کاهدان,hayrack
سرطويله,stable
نوعي صدف,barnacle
لباشه,barnacles
فشارنگاري,manometry
ميزان الهواء,barometer
فشارنگار,manometer
هواسنج,barometer
فشار جو,barometric pressure
باروري,pregnancy
مقام باروني,baronage
همسر بارون,baroness
شان بارون,barony
املاک بارون,barony
بارکاس,barque
سربازخانه,barrack
درسربازخانه جادادن,barrack
انبار کاه,barrack
منزل کارگران,barrack
بازداشتگاه بردگان,barracoon
رگبار گلوله,barrage
جنگ کننده,fighter
ستيزه جو,scrappy
لول,wriggling
خم,fold
چليک,drum
درخمره ريختن,barrel
دربشکه کردن,barrel
بشکه,barrel
لوله تفنگ,barrel
خمرهچوبي,barrel
بشکه ساز,barrel maker
چاپگر بشکهاي,barrel printer
گزينه بشکه اي,barrel switch
خمره اي,barrel-shaped
ضربي,rhythmical
مقطع النسل,barren
نامزروع,uncultivated
نازا,infertile
عقيمي,sterility
پنس مو,barrette
مانع,obstacle
موانع,difficulties
وکيل مشاور,barrister
خاک کش,barrow
چرخ دستي,wheelbarrow
زنبه,barrow
متصدي بار,bartender
پاياپاي,exchange
دادوستد کالا,barter
تهاتر,barter
تهاتر کردن,barter
تهاتري,bartered
بارزاني,Barzani
برزين,Barzin
سياسنگ,basalt
بازالت,basalt
مرمر سياه,basalt
مرمرسياه,basalt
پايگاه,base
دني الطبع,mean
پست فطرت,wretched
فرومايه,lowborn
لئيم,miser
پايه ستون,base
نشاني پايه,base address
توپ مبنا,base piece
ثبات پايه,base register
دون همت,low
بيسبال,baseball
متکي,relying
مستند,supported
مبتني,founded
مبني,basis
از قول,quoting
براساس,based on
برابر,times more
مبني بر,based on
برپايه,based on
بر مبناي,based on
برحسب,based on
حسب الوظيفه,based on duty
حدسي,based on guesses
مبني بر اين که,regarding the fact that
مبني بر حقيقت,based on truth
بي اساس,unfounded
بي ماخذ,sourceless
بي پايه,baseless
بي اساسي,baselessness
زير زمين,underground
زيرزمين,cellar
سرداب,cellar
دوني,pettiness
پست فطرتي,baseness
فرومايگي,lowliness
دنائت,baseness
محجوبانه,bashful
شرمرو,bashful
کمروئي,bashfulness
پايهاي,basic
اصلي,original
اساسي,fundamental
زبان بيسيک,basic language
وظيفهاساسي,basic responsibility
اساساً,basically
پايه کار,basics
تشتک,small tub
طشت,tub
لگن دار,basined
ملاک,proof
شالوده,foundation
مناط,basis
پايه,rank
بنياد,basis
اساس,foundation
اصل,truth
مبنا,basis
ملاک عمل,document
حمام آفتاب گرفتن,bask
سبد,basket
زنبيل,basket
درسبد ريختن,basket
سبدبافي,basket making
سبدي,basket-like
سبدسازي,wickerwork
ماده قليادوست,basophile
بازدوست,basophilic
بصره,Basra
بم,bass
زنازاده,bastard
ولد الزنا,bastard
مادر بخطا,bastard
مادربخطا,bastard
حرامزاده کردن,bastardize
حرام زادگي,bastardry
نخکوک,basting
باستيون,bastion
شبپره,bat
پارهآجر,bat
چوکان زدن,bat
خفاش,bat
چوگاندار,bat
نيمه يا چوب,bat
خم به ابرو آوردن,bat an eyelid
باتالف,Batalov
پردازش دستهاي,batch processing
گرمابه,bathhouse
حمام,bathhouse
تنشوي,bath
استحمام,bath
حمامي,bath keeper
شستشو کردن,wash
شستشو دادن,wash
شستشو,wash
استحمام کردن,bathe
آبتني کردن,bathe
لباس کن,bathhouse
آبتني,bathing
شلوار شنا,bathing suit
عمق سنج,bathometer
ژرفاسنج,bathometer
هوله حمام,bathrobe
حوضخانه,bathroom
خلاء,vacuum
توالت,toilet
مستراح,toilet
اتاقک توالت,bathroom
وان,bathtub
وان حمام,receptor
عمق سنجي,bathymetry
باتيستا,Batista
پاتيس,batiste
باتون,baton
عصاي افسران,baton
مشتاق جنگ,battailous
گردان,turning
حال آمدن,refresh
پي درپي زدن,batter
دژکوب,battering ram
باتري,battery
باطري,battery
جنگ,war
پيکار,battle
نبرد,conflict
مصاف,fight
رزم,war
پيکار کردن,struggle
کارزار,battle
شعار جنگي,battle cry
آمادگي رزمي,battle readiness
نبردگاه,battleground
عرصه منازعه,battleground
رزمگاه,battlefield
رزم گاه,battlefield
کشتي جنگي,warship
رزمناو,battleship
رزم ناو,battleship
ناو,battleship
بتول,Batul
جا کشي,procuance
کهر,bay
خليج,gulf
سرنيزه,bayonet
بازتاب,reflection
بي بي سي,BBC
مقل,bdellium
تشريف داشتن,be
بودن,exist
قرارداشتن,be
ملاک بودن,be a basis
دلالي کردن,be a broker
محشر پبا کردن,be a prodigy
قادر بودن,be able
توانستن,can
تاب تحمل داشتن,be able to tolerate
ورافتادن,be abolished
وافر بودن,be aboundant
مسموع بودن,be acceptable
مورد موافقت قرار گرفتن,be approved
اجابت شدن,be accepted
مقبول واقع شدن,be accepted
مقبول افتادن,be accepted
مورد اتهام قرار گرفتن,be accused
مورد اتهام واقع شدن,be accused
عملي شدن,take place
احاطه داشتن,be acquainted with
روسفيد شدن,be acquitted
تبرئه شدن,be acquitted
ازافه شدن,be added
اضافه شدن,be added
اعتياد داشتن,be addicted
خطاب شدن,be addressed
عمل شدن,be adhered to
اتخا شدن,be made
اتخل شدن,be made
اثر پذيرفتن,be affected with
وابستگي داشتن,be affilliated
وابسته بودن,depend
تلاطم داشتن,be turbulent
توافق شدن,be agreed
مراقب بودن,be alert
زنده بودن,live
اختصاص يافتن,be allocated
تخصيص يافتن,be allocated
اختصاص داشتن,belong
هزينه شدن,be budgeted
جايز بودن,be allowable
حيران شدن,be amazed
حيرت زده شدن,marvel
جوابگو بودن,be answerable
در تضاد بودن,be antagonistic
پيشبيني شدن,be anticipated
اطلاق شدن,be applied generally
مشمول شدن,be drafted
انتصاب شدن,be appointed
منصوب شدن,be appointed
مبعوث شدن,be appointed
به تاييد رسيدن,be approved
تصويب شدن,be passed
بازداشت شدن,be arrested
دستگير شدن,be arrested
از اين قرار بودن,be as follows
سئوال شدن,be asked
ارزيابي شدن,be evaluated
محشور بودن,be associated
خاطرجمع شدن,be assured
اطمينان يافتن,be assured
منضم بودن,be attached
دلبستگي داشتن,be attached to
هدف حمله قرار گرفتن,be attacked
مجزوب شدن,be attracted
مجذوب شدن,be attracted
منسوب شدن,be attributed
مجاز بودن,be authorized
مختار بودن,be authorized
در دست بودن,be avaible
گير آمدن,be available
متنبه شدن,be awakened
آگاهي داشتن,be informed
مطلع بودن,be aware
واقف بودن,be aware
وقوف داشتن,be aware of
موازنه داشتن,be balanced
چوب خوردن,be beaten
رجحان داشتن,be better
ملالت بردن,be blamed
ملالت شدن,be blamed
خير ديدن,be blessed
نابينا شدن,go blind
متولد شدن,be born
تولد شدن,be born
ديده به جهان گشودن,be born
به دنيا آمدن,be born
دليري کردن,be brave
ارتشاء شدن,be bribed
منکسر شدن,be broken
مدفون شدن,be buried
دفن شدن,be buried
محاسبه شدن,be calculated
آرام بودن,be calm
رک گفتن,be candid
اسير شدن,be captured
سهل انگاري شدن,be careless
حمل شدن,be carried
به اجرا درآمدن,be put into effect
اخته شدن,be castrated
گرفتار شدن,involve
به دام افتادن,be caught
بدام افتادن,be caught
بر حذر بودن,be cautious
مرکزيت يافتن,be centralized
تمرکز يافتن,be centralized
حتم داشتن,be certain
به زنجير کشيده شدن,be chained
متهم شدن,be charged with
طلسم شدن,be enchanted
زغال شدن,be charred
مواخذه قرار گرفتن,be chastised
مواخذه شدن,be chastised
گول خوردن,be cheated
مغبون شدن,be cheated
مات شدن,be checkmated
منتخب شدن,be chosen
ختنه شدن,be circumcised
زرنگي کردن,be clever
منعقد شدن,conclude
مدون شدن,be codified
راحت بودن,be comfortable
مقايسه شدن,be compared
ناچار بودن,have to
کامل شدن,be completed
محکوم شدن,be condemned
محکوم بمرگ شدن,be condemned to death
تاييد شدن,be confirmed
محرز شدن,be confirmed
ضبط شدن,be recorded
متشنج شدن,be disturbed
اتصال داشتن,be connected
متصل شدن,be connected
اتصال يافتن,be connected
ملاحظه شدن,be considered
به شمار آمدن,be considered
در نظر گرفته شدن,be considered
گنجيدن,be contained
مغاير بودن,jar
مغايرت داشتن,be contrary
متقاعد شدن,be convinced
مجاب شدن,be convinced
به حساب آمدن,be counted
به شمار رفتن,be counted
جرات داشتن,be courageous
مستور شدن,hide
خلق شدن,be created
بوجود آمدن,be created
به وجود آمدن,be created
مصلوب شدن,be crucified
له شدن,be crushed
شفا يافتن,be cured
درمان شدن,be cured
متداول بودن,be customery
منقطع شدن,be cut off
قطع شدن,be discontinued
عيب کردن,be spoiled
رطوبت داشتن,be damp
فريب خوردن,be deceived
اغفال شدن,be deceived
بنا شدن,be decided
مدال گرفتن,be decorated
مغلوب شدن,be defeated
منهزم شدن,be defeated
شکست خوردن,fail
دشديده شدن,be deformed
خوار شدن,be degraded
به تاخير افتادن,be postponed
وقفه داشتن,be delayed
محظوظ شدن,enjoy
ايراد شدن,be delivered
خلع شدن,be deposed
محروم شدن,be deprived
